scenario_id,method,n,p,contamination_type,contamination_rate,contamination_strength,true_ate,n_mc,bias,mse,var,rmse,mae,coverage,n_valid,elapsed_sec,mcse_bias,mcse_mse,mcse_rmse
1,naive,200,5,none,0.0,3,2,2000,0.0080369235336492,0.0308178829033819,0.0307686751010467,0.175550229004071,0.139586750411221,0.9465,2000,198.148185968399,0.003922287285567358,0.0009750313823699326,0.002777072373819922
1,ipw_robust,200,5,none,0.0,3,2,2000,-0.020987459902847,0.0314354967456404,0.0310105285367352,0.177300583038072,0.142090765063695,0.9475,2000,198.148185968399,0.003937672443000763,0.0009944704674080165,0.002804476021363315
1,dr_robust,200,5,none,0.0,3,2,2000,0.0032374485135662,0.0307534719565112,0.0307583700686675,0.175366678580941,0.139985700310997,0.952,2000,198.148185968399,0.003921630405116442,0.0009729964494887412,0.002774177105257918
1,aipw_robust,200,5,none,0.0,3,2,2000,0.0018027861510958,0.041757272427536,0.0417749098445517,0.204345962591719,0.162747790894887,0.948,2000,198.148185968399,0.004570279523429158,0.0013211414127948227,0.0032326095314994035
1,reg_adj,200,5,none,0.0,3,2,2000,0.0071929511522141,0.0286319050893116,0.028594463774921,0.169209648333987,0.135280913414069,0.951,2000,198.148185968399,0.003781168058611056,0.0009058709789754299,0.002676771058549263
1,adaptive,200,5,none,0.0,3,2,2000,0.0071716698546726,0.0286488943362515,0.0286117673714328,0.169259842656938,0.135302194711611,0.951,2000,198.148185968399,0.0037823119498154034,0.0009064085180040531,0.0026775651677793263
2,naive,500,5,none,0.0,3,2,2000,0.0099002412155511,0.0117964891085327,0.0117043264956545,0.10861164352192,0.0864175195374492,0.948,2000,435.221884012222,0.002419124479605638,0.0003732099310029632,0.0017180935620757915
2,ipw_robust,500,5,none,0.0,3,2,2000,-0.0195321174282248,0.0127124199106777,0.0123370848418686,0.112749367673072,0.0904513176261401,0.941,2000,435.221884012222,0.002483655052726586,0.0004020161032022357,0.0017827865091355605
2,dr_robust,500,5,none,0.0,3,2,2000,0.0056231229935002,0.0115257482813588,0.011499878708513,0.107358037805089,0.0857417361970637,0.9465,2000,435.221884012222,0.002397903116111345,0.0003646566212490266,0.0016983200732071367
2,aipw_robust,500,5,none,0.0,3,2,2000,0.0031063875138555,0.0158731555568766,0.0158714416343075,0.125988712021659,0.100495275114957,0.948,2000,435.221884012222,0.002817041145804184,0.0005022041089585216,0.0019930520000561104
2,reg_adj,500,5,none,0.0,3,2,2000,0.0089903043081704,0.0109109311676971,0.0108355233578225,0.104455402769302,0.083447486255668,0.949,2000,435.221884012222,0.0023276085751069166,0.0003451958012126911,0.0016523597251119852
2,adaptive,500,5,none,0.0,3,2,2000,0.0089903043081704,0.0109109311676971,0.0108355233578225,0.104455402769302,0.083447486255668,0.949,2000,435.221884012222,0.0023276085751069166,0.0003451958012126911,0.0016523597251119852
