contamination_rate,method,bias,mse,rmse
0.0,Naive IPW,0.0094,0.0173,0.1237
0.0,Regression Adj.,0.0087,0.0152,0.1168
0.0,Robust IPW,-0.0159,0.0176,0.1252
0.0,Robust DR,0.0047,0.0167,0.1215
0.0,Robust AIPW,0.0006,0.0221,0.1406
0.0,Adaptive,0.0086,0.0154,0.1173
0.05,Naive IPW,-0.1247,0.0758,0.2571
0.05,Regression Adj.,-0.1331,0.0711,0.2504
0.05,Robust IPW,-0.1278,0.0439,0.2013
0.05,Robust DR,-0.1207,0.0452,0.2051
0.05,Robust AIPW,-0.0845,0.0364,0.1828
0.05,Adaptive,-0.1353,0.0446,0.2028
0.1,Naive IPW,-0.2218,0.1618,0.3678
0.1,Regression Adj.,-0.2269,0.155,0.3619
0.1,Robust IPW,-0.2134,0.0919,0.2771
0.1,Robust DR,-0.2098,0.093,0.2806
0.1,Robust AIPW,-0.1702,0.0744,0.2531
0.1,Adaptive,-0.2256,0.0991,0.2857
0.15,Naive IPW,-0.2994,0.2699,0.4649
0.15,Regression Adj.,-0.3026,0.2598,0.4586
0.15,Robust IPW,-0.2865,0.1606,0.3488
0.15,Robust DR,-0.286,0.1632,0.3537
0.15,Robust AIPW,-0.2475,0.1341,0.3254
0.15,Adaptive,-0.3003,0.1749,0.3603
0.2,Naive IPW,-0.3747,0.3967,0.5549
0.2,Regression Adj.,-0.377,0.3854,0.5485
0.2,Robust IPW,-0.3597,0.2533,0.4224
0.2,Robust DR,-0.3612,0.2583,0.4287
0.2,Robust AIPW,-0.3237,0.2178,0.3999
0.2,Adaptive,-0.3741,0.2739,0.4351
