p,method,bias,mse,rmse
5,Naive IPW,-0.165,0.146,0.3044
5,Regression Adj.,-0.1682,0.1438,0.3016
5,Robust IPW,-0.1723,0.0957,0.2475
5,Robust DR,-0.1618,0.0964,0.2488
5,Robust AIPW,-0.1366,0.0812,0.2368
5,Adaptive,-0.1687,0.1013,0.2499
10,Naive IPW,-0.159,0.1499,0.3063
10,Regression Adj.,-0.1614,0.1442,0.2997
10,Robust IPW,-0.16,0.0931,0.2427
10,Robust DR,-0.1538,0.0953,0.2457
10,Robust AIPW,-0.1312,0.0816,0.2352
10,Adaptive,-0.1599,0.0996,0.2457
20,Naive IPW,-0.1558,0.157,0.3126
20,Regression Adj.,-0.16,0.1467,0.3024
20,Robust IPW,-0.1589,0.0942,0.2452
20,Robust DR,-0.1486,0.0951,0.2458
20,Robust AIPW,-0.128,0.0834,0.2376
20,Adaptive,-0.1591,0.1003,0.2477
