p,method,bias,mse,rmse,coverage
5,Naive IPW,-0.4812,0.6517,0.8073,0.89
5,Regression Adj.,-0.4936,0.6726,0.8201,0.8885
5,Robust IPW,-0.4493,0.2487,0.4987,0.4555
5,Robust DR,-0.4637,0.2622,0.512,0.4365
5,Robust AIPW,-0.3898,0.2106,0.4589,0.6465
5,Adaptive,-0.4494,0.249,0.499,0.457
10,Naive IPW,-0.4491,0.6126,0.7827,0.903
10,Regression Adj.,-0.4706,0.6295,0.7934,0.9005
10,Robust IPW,-0.4131,0.2196,0.4686,0.547
10,Robust DR,-0.4168,0.2229,0.4721,0.548
10,Robust AIPW,-0.3496,0.1831,0.4279,0.699
10,Adaptive,-0.4132,0.2197,0.4687,0.5465
20,Naive IPW,-0.4191,0.667,0.8167,0.9205
20,Regression Adj.,-0.4625,0.6972,0.835,0.904
20,Robust IPW,-0.3923,0.2072,0.4552,0.605
20,Robust DR,-0.3867,0.2153,0.464,0.705
20,Robust AIPW,-0.3391,0.1854,0.4306,0.765
20,Adaptive,-0.3923,0.2072,0.4552,0.605
